Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_97,VGND,li1,51.9800,59.8400,0.000024
FILLER_17_85,VGND,li1,47.3800,59.8400,0.000024
FILLER_17_78,VGND,li1,42.7800,59.8400,0.000024
FILLER_17_65,VGND,li1,35.8800,59.8400,0.000022
FILLER_17_57,VGND,li1,33.5800,59.8400,0.000020
FILLER_17_53,VGND,li1,30.5900,59.8400,0.000016
FILLER_17_41,VGND,li1,27.1400,59.8400,0.000013
FILLER_17_29,VGND,li1,21.6200,59.8400,0.000011
FILLER_17_27,VGND,li1,18.1700,59.8400,0.000011
FILLER_17_15,VGND,li1,15.1800,59.8400,0.000011
FILLER_17_3,VGND,li1,9.6600,59.8400,0.000011
FILLER_16_97,VGND,li1,51.9800,54.4000,0.000165
FILLER_16_85,VGND,li1,47.3800,54.4000,0.000165
FILLER_16_80,VGND,li1,43.2400,54.4000,0.000156
FILLER_16_53,VGND,li1,30.8200,54.4000,0.000098
FILLER_16_41,VGND,li1,27.1400,54.4000,0.000075
FILLER_16_29,VGND,li1,21.6200,54.4000,0.000063
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000063
FILLER_16_15,VGND,li1,15.1800,54.4000,0.000063
FILLER_16_3,VGND,li1,9.6600,54.4000,0.000064
FILLER_15_104,VGND,li1,53.5900,54.4000,0.000165
FILLER_15_68,VGND,li1,37.4900,54.4000,0.000136
FILLER_15_57,VGND,li1,31.9700,54.4000,0.000098
FILLER_15_55,VGND,li1,31.0500,54.4000,0.000098
FILLER_15_47,VGND,li1,28.9800,54.4000,0.000087
FILLER_15_30,VGND,li1,22.0800,54.4000,0.000063
FILLER_15_18,VGND,li1,16.5600,54.4000,0.000063
FILLER_15_6,VGND,li1,11.0400,54.4000,0.000064
FILLER_14_97,VGND,li1,51.9800,48.9600,0.000099
FILLER_14_85,VGND,li1,47.3800,48.9600,0.000099
FILLER_14_83,VGND,li1,43.9300,48.9600,0.000091
FILLER_14_77,VGND,li1,42.3200,48.9600,0.000091
FILLER_14_73,VGND,li1,39.3300,48.9600,0.000085
FILLER_14_65,VGND,li1,37.2600,48.9600,0.000078
FILLER_14_53,VGND,li1,32.6600,48.9600,0.000063
FILLER_14_29,VGND,li1,20.2400,48.9600,0.000053
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000056
FILLER_14_15,VGND,li1,15.1800,48.9600,0.000064
FILLER_14_3,VGND,li1,9.6600,48.9600,0.000065
FILLER_13_83,VGND,li1,43.9300,48.9600,0.000091
FILLER_13_76,VGND,li1,40.7100,48.9600,0.000085
FILLER_13_64,VGND,li1,36.8000,48.9600,0.000078
FILLER_13_44,VGND,li1,25.9900,48.9600,0.000045
FILLER_12_101,VGND,li1,52.9000,43.5200,0.000101
FILLER_12_89,VGND,li1,49.2200,43.5200,0.000101
FILLER_12_78,VGND,li1,42.7800,43.5200,0.000090
FILLER_12_67,VGND,li1,37.7200,43.5200,0.000079
FILLER_12_58,VGND,li1,32.6600,43.5200,0.000064
FILLER_12_50,VGND,li1,30.3600,43.5200,0.000059
FILLER_12_41,VGND,li1,25.7600,43.5200,0.000046
FILLER_12_29,VGND,li1,21.6200,43.5200,0.000051
FILLER_12_26,VGND,li1,17.9400,43.5200,0.000059
FILLER_11_83,VGND,li1,43.9300,43.5200,0.000093
FILLER_11_75,VGND,li1,40.2500,43.5200,0.000086
FILLER_11_69,VGND,li1,38.6400,43.5200,0.000079
FILLER_11_57,VGND,li1,34.5000,43.5200,0.000071
FILLER_11_54,VGND,li1,30.8200,43.5200,0.000059
FILLER_11_50,VGND,li1,28.7500,43.5200,0.000053
FILLER_11_43,VGND,li1,25.5300,43.5200,0.000046
FILLER_11_35,VGND,li1,22.3100,43.5200,0.000051
FILLER_11_27,VGND,li1,19.7800,43.5200,0.000055
FILLER_11_15,VGND,li1,15.1800,43.5200,0.000064
FILLER_11_3,VGND,li1,9.6600,43.5200,0.000071
FILLER_10_96,VGND,li1,49.9100,38.0800,0.000072
FILLER_10_90,VGND,li1,48.3000,38.0800,0.000072
FILLER_10_78,VGND,li1,42.7800,38.0800,0.000064
FILLER_10_69,VGND,li1,37.7200,38.0800,0.000056
FILLER_10_61,VGND,li1,35.4200,38.0800,0.000052
FILLER_10_40,VGND,li1,24.1500,38.0800,0.000035
FILLER_10_29,VGND,li1,19.7800,38.0800,0.000046
FILLER_10_20,VGND,li1,16.5600,38.0800,0.000050
FILLER_10_9,VGND,li1,10.1200,38.0800,0.000061
FILLER_9_82,VGND,li1,43.7000,38.0800,0.000064
FILLER_9_63,VGND,li1,36.3400,38.0800,0.000052
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000045
FILLER_9_33,VGND,li1,22.0800,38.0800,0.000040
FILLER_9_21,VGND,li1,17.9400,38.0800,0.000050
FILLER_9_3,VGND,li1,7.3600,38.0800,0.000061
FILLER_8_100,VGND,li1,51.7500,32.6400,0.000137
FILLER_8_92,VGND,li1,49.6800,32.6400,0.000137
FILLER_8_66,VGND,li1,38.6400,32.6400,0.000107
FILLER_8_54,VGND,li1,33.1200,32.6400,0.000085
FILLER_8_47,VGND,li1,27.3700,32.6400,0.000071
FILLER_8_41,VGND,li1,25.7600,32.6400,0.000063
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000074
FILLER_8_3,VGND,li1,7.1300,32.6400,0.000095
FILLER_7_84,VGND,li1,45.5400,32.6400,0.000131
FILLER_7_76,VGND,li1,40.7100,32.6400,0.000118
FILLER_7_64,VGND,li1,37.7200,32.6400,0.000107
FILLER_7_46,VGND,li1,27.3700,32.6400,0.000071
FILLER_7_38,VGND,li1,23.2300,32.6400,0.000068
FILLER_7_30,VGND,li1,21.1600,32.6400,0.000074
FILLER_7_10,VGND,li1,11.0400,32.6400,0.000094
FILLER_6_82,VGND,li1,43.7000,27.2000,0.000149
FILLER_6_69,VGND,li1,37.7200,27.2000,0.000136
FILLER_6_61,VGND,li1,35.4200,27.2000,0.000129
FILLER_6_38,VGND,li1,25.7600,27.2000,0.000083
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000101
FILLER_6_15,VGND,li1,13.3400,27.2000,0.000105
FILLER_6_9,VGND,li1,9.8900,27.2000,0.000108
FILLER_5_104,VGND,li1,53.5900,27.2000,0.000157
FILLER_5_63,VGND,li1,35.4200,27.2000,0.000129
FILLER_5_57,VGND,li1,31.9700,27.2000,0.000110
FILLER_5_43,VGND,li1,25.9900,27.2000,0.000083
FILLER_5_31,VGND,li1,22.5400,27.2000,0.000095
FILLER_5_16,VGND,li1,14.2600,27.2000,0.000105
FILLER_5_3,VGND,li1,7.8200,27.2000,0.000108
FILLER_4_85,VGND,li1,46.0000,21.7600,0.000197
FILLER_4_82,VGND,li1,43.7000,21.7600,0.000187
FILLER_4_74,VGND,li1,41.4000,21.7600,0.000181
FILLER_4_62,VGND,li1,36.8000,21.7600,0.000164
FILLER_4_50,VGND,li1,31.2800,21.7600,0.000138
FILLER_4_15,VGND,li1,13.3400,21.7600,0.000135
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000135
FILLER_3_76,VGND,li1,43.2400,21.7600,0.000187
FILLER_3_64,VGND,li1,37.7200,21.7600,0.000164
FILLER_3_54,VGND,li1,30.8200,21.7600,0.000138
FILLER_3_48,VGND,li1,28.2900,21.7600,0.000128
FILLER_3_36,VGND,li1,24.8400,21.7600,0.000106
FILLER_3_24,VGND,li1,19.3200,21.7600,0.000119
FILLER_2_82,VGND,li1,43.7000,16.3200,0.000134
FILLER_2_68,VGND,li1,37.2600,16.3200,0.000118
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000077
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000082
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000082
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000082
FILLER_1_64,VGND,li1,36.3400,16.3200,0.000118
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000096
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000082
FILLER_0_104,VGND,li1,53.5900,10.8800,0.000080
FILLER_0_94,VGND,li1,50.1400,10.8800,0.000080
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000070
FILLER_0_69,VGND,li1,38.1800,10.8800,0.000057
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000048
FILLER_0_48,VGND,li1,29.4400,10.8800,0.000036
FILLER_0_36,VGND,li1,24.8400,10.8800,0.000025
FILLER_0_29,VGND,li1,19.7800,10.8800,0.000025
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000025
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000025
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000025
fanout19,VGND,li1,34.5000,54.4000,0.000121
fanout18,VGND,li1,7.8200,48.9600,0.000065
fanout17,VGND,li1,52.4400,10.8800,0.000080
fanout16,VGND,li1,48.7600,21.7600,0.000206
output15,VGND,li1,51.7500,21.7600,0.000214
output14,VGND,li1,52.9000,32.6400,0.000137
output13,VGND,li1,52.9000,38.0800,0.000072
output12,VGND,li1,40.4800,59.8400,0.000024
output11,VGND,li1,51.0600,38.0800,0.000072
output10,VGND,li1,47.8400,10.8800,0.000079
input9,VGND,li1,39.7900,10.8800,0.000057
input8,VGND,li1,46.6900,21.7600,0.000197
input7,VGND,li1,53.1300,21.7600,0.000214
input6,VGND,li1,53.1300,27.2000,0.000157
input5,VGND,li1,7.5900,27.2000,0.000108
input4,VGND,li1,8.9700,38.0800,0.000061
input3,VGND,li1,7.5900,38.0800,0.000061
input2,VGND,li1,8.9700,27.2000,0.000108
input1,VGND,li1,7.5900,54.4000,0.000064
TAP_TAPCELL_ROW_17_65,VGND,li1,44.3900,59.5480,0.000024
TAP_TAPCELL_ROW_17_64,VGND,li1,31.5100,59.5480,0.000016
TAP_TAPCELL_ROW_17_63,VGND,li1,18.6300,59.5480,0.000011
TAP_TAPCELL_ROW_16_62,VGND,li1,44.3900,54.6910,0.000156
TAP_TAPCELL_ROW_16_61,VGND,li1,18.6300,54.6910,0.000063
TAP_TAPCELL_ROW_15_60,VGND,li1,31.5100,54.1080,0.000098
TAP_TAPCELL_ROW_14_59,VGND,li1,44.3900,49.2510,0.000095
TAP_TAPCELL_ROW_14_58,VGND,li1,18.6300,49.2510,0.000056
TAP_TAPCELL_ROW_13_57,VGND,li1,31.5100,48.6680,0.000063
TAP_TAPCELL_ROW_12_56,VGND,li1,44.3900,43.8110,0.000093
TAP_TAPCELL_ROW_12_55,VGND,li1,18.6300,43.8110,0.000059
TAP_TAPCELL_ROW_11_54,VGND,li1,31.5100,43.2280,0.000064
TAP_TAPCELL_ROW_10_53,VGND,li1,44.3900,38.3710,0.000064
TAP_TAPCELL_ROW_10_52,VGND,li1,18.6300,38.3710,0.000046
TAP_TAPCELL_ROW_9_51,VGND,li1,31.5100,37.7880,0.000045
TAP_TAPCELL_ROW_8_50,VGND,li1,44.3900,32.9310,0.000124
TAP_TAPCELL_ROW_8_49,VGND,li1,18.6300,32.9310,0.000083
TAP_TAPCELL_ROW_7_48,VGND,li1,31.5100,32.3480,0.000085
TAP_TAPCELL_ROW_6_47,VGND,li1,44.3900,27.4910,0.000149
TAP_TAPCELL_ROW_6_46,VGND,li1,18.6300,27.4910,0.000101
TAP_TAPCELL_ROW_5_45,VGND,li1,31.5100,26.9080,0.000110
TAP_TAPCELL_ROW_4_44,VGND,li1,44.3900,22.0510,0.000187
TAP_TAPCELL_ROW_4_43,VGND,li1,18.6300,22.0510,0.000119
TAP_TAPCELL_ROW_3_42,VGND,li1,31.5100,21.4680,0.000138
TAP_TAPCELL_ROW_2_41,VGND,li1,44.3900,16.6110,0.000134
TAP_TAPCELL_ROW_2_40,VGND,li1,18.6300,16.6110,0.000082
TAP_TAPCELL_ROW_1_39,VGND,li1,31.5100,16.0280,0.000096
TAP_TAPCELL_ROW_0_38,VGND,li1,44.3900,11.1710,0.000070
TAP_TAPCELL_ROW_0_37,VGND,li1,31.5100,11.1710,0.000041
TAP_TAPCELL_ROW_0_36,VGND,li1,18.6300,11.1710,0.000025
PHY_EDGE_ROW_17_Left_35,VGND,li1,6.2100,59.8400,0.000011
PHY_EDGE_ROW_16_Left_34,VGND,li1,6.2100,54.4000,0.000064
PHY_EDGE_ROW_15_Left_33,VGND,li1,6.2100,54.4000,0.000064
PHY_EDGE_ROW_14_Left_32,VGND,li1,6.2100,48.9600,0.000065
PHY_EDGE_ROW_13_Left_31,VGND,li1,6.2100,48.9600,0.000065
PHY_EDGE_ROW_12_Left_30,VGND,li1,6.2100,43.5200,0.000071
PHY_EDGE_ROW_11_Left_29,VGND,li1,6.2100,43.5200,0.000071
PHY_EDGE_ROW_10_Left_28,VGND,li1,6.2100,38.0800,0.000061
PHY_EDGE_ROW_9_Left_27,VGND,li1,6.2100,38.0800,0.000061
PHY_EDGE_ROW_8_Left_26,VGND,li1,6.2100,32.6400,0.000095
PHY_EDGE_ROW_7_Left_25,VGND,li1,6.2100,32.6400,0.000095
PHY_EDGE_ROW_6_Left_24,VGND,li1,6.2100,27.2000,0.000108
PHY_EDGE_ROW_5_Left_23,VGND,li1,6.2100,27.2000,0.000108
PHY_EDGE_ROW_4_Left_22,VGND,li1,6.2100,21.7600,0.000135
PHY_EDGE_ROW_3_Left_21,VGND,li1,6.2100,21.7600,0.000135
PHY_EDGE_ROW_2_Left_20,VGND,li1,6.2100,16.3200,0.000082
PHY_EDGE_ROW_1_Left_19,VGND,li1,6.2100,16.3200,0.000082
PHY_EDGE_ROW_0_Left_18,VGND,li1,6.2100,10.8800,0.000025
PHY_EDGE_ROW_17_Right_17,VGND,li1,54.5100,59.8400,0.000024
PHY_EDGE_ROW_16_Right_16,VGND,li1,54.5100,54.4000,0.000165
PHY_EDGE_ROW_15_Right_15,VGND,li1,54.5100,54.4000,0.000165
PHY_EDGE_ROW_14_Right_14,VGND,li1,54.5100,48.9600,0.000099
PHY_EDGE_ROW_13_Right_13,VGND,li1,54.5100,48.9600,0.000099
PHY_EDGE_ROW_12_Right_12,VGND,li1,54.5100,43.5200,0.000101
PHY_EDGE_ROW_11_Right_11,VGND,li1,54.5100,43.5200,0.000101
PHY_EDGE_ROW_10_Right_10,VGND,li1,54.5100,38.0800,0.000072
PHY_EDGE_ROW_9_Right_9,VGND,li1,54.5100,38.0800,0.000072
PHY_EDGE_ROW_8_Right_8,VGND,li1,54.5100,32.6400,0.000137
PHY_EDGE_ROW_7_Right_7,VGND,li1,54.5100,32.6400,0.000137
PHY_EDGE_ROW_6_Right_6,VGND,li1,54.5100,27.2000,0.000157
PHY_EDGE_ROW_5_Right_5,VGND,li1,54.5100,27.2000,0.000157
PHY_EDGE_ROW_4_Right_4,VGND,li1,54.5100,21.7600,0.000214
PHY_EDGE_ROW_3_Right_3,VGND,li1,54.5100,21.7600,0.000214
PHY_EDGE_ROW_2_Right_2,VGND,li1,54.5100,16.3200,0.000141
PHY_EDGE_ROW_1_Right_1,VGND,li1,54.5100,16.3200,0.000141
PHY_EDGE_ROW_0_Right_0,VGND,li1,54.5100,10.8800,0.000080
_174_,VGND,li1,41.8600,16.3200,0.000132
_173_,VGND,li1,17.0200,16.3200,0.000082
_172_,VGND,li1,49.2200,16.3200,0.000141
_171_,VGND,li1,11.7300,21.7600,0.000135
_170_,VGND,li1,13.8000,32.6400,0.000092
_169_,VGND,li1,13.5700,48.9600,0.000064
_168_,VGND,li1,12.1900,43.5200,0.000071
_167_,VGND,li1,23.6900,21.7600,0.000106
_166_,VGND,li1,48.9900,43.5200,0.000101
_165_,VGND,li1,48.9900,48.9600,0.000099
_164_,VGND,li1,37.0300,54.4000,0.000136
_163_,VGND,li1,48.0700,54.4000,0.000165
_162_,VGND,li1,32.2000,16.3200,0.000104
_161_,VGND,li1,26.2200,16.3200,0.000073
_160_,VGND,li1,49.2200,16.3200,0.000141
_159_,VGND,li1,48.9900,38.0800,0.000072
_158_,VGND,li1,41.1700,27.2000,0.000147
_157_,VGND,li1,16.3300,21.7600,0.000125
_156_,VGND,li1,10.8100,27.2000,0.000107
_155_,VGND,li1,14.0300,32.6400,0.000092
_154_,VGND,li1,12.6500,38.0800,0.000058
_153_,VGND,li1,9.8900,38.0800,0.000061
_152_,VGND,li1,17.7100,27.2000,0.000101
_151_,VGND,li1,45.5400,43.5200,0.000093
_150_,VGND,li1,42.0900,43.5200,0.000090
_149_,VGND,li1,42.3200,48.9600,0.000091
_148_,VGND,li1,39.5600,48.9600,0.000085
_147_,VGND,li1,40.2500,43.5200,0.000086
_146_,VGND,li1,39.1000,54.4000,0.000144
_145_,VGND,li1,37.9500,59.8400,0.000024
_144_,VGND,li1,41.4000,54.4000,0.000152
_143_,VGND,li1,40.2500,48.9600,0.000085
_142_,VGND,li1,46.2300,32.6400,0.000131
_141_,VGND,li1,39.7900,38.0800,0.000059
_140_,VGND,li1,42.7800,32.6400,0.000124
_139_,VGND,li1,33.3500,21.7600,0.000152
_138_,VGND,li1,32.4300,27.2000,0.000120
_137_,VGND,li1,33.3500,32.6400,0.000092
_136_,VGND,li1,29.9000,27.2000,0.000100
_135_,VGND,li1,25.0700,32.6400,0.000063
_134_,VGND,li1,45.7700,38.0800,0.000068
_133_,VGND,li1,41.4000,38.0800,0.000059
_132_,VGND,li1,33.3500,48.9600,0.000068
_131_,VGND,li1,29.6700,48.9600,0.000058
_130_,VGND,li1,28.0600,48.9600,0.000052
_129_,VGND,li1,27.1400,48.9600,0.000052
_128_,VGND,li1,34.7300,43.5200,0.000071
_127_,VGND,li1,27.8300,43.5200,0.000053
_126_,VGND,li1,22.5400,48.9600,0.000049
_125_,VGND,li1,24.6100,48.9600,0.000045
_124_,VGND,li1,41.4000,27.2000,0.000147
_123_,VGND,li1,41.6300,10.8800,0.000066
_122_,VGND,li1,45.7700,10.8800,0.000075
_121_,VGND,li1,38.4100,16.3200,0.000125
_120_,VGND,li1,39.7900,16.3200,0.000125
_119_,VGND,li1,33.3500,16.3200,0.000104
_118_,VGND,li1,29.6700,21.7600,0.000128
_117_,VGND,li1,42.5500,16.3200,0.000132
_116_,VGND,li1,51.2900,21.7600,0.000214
_115_,VGND,li1,50.3700,32.6400,0.000137
_114_,VGND,li1,25.9900,16.3200,0.000073
_113_,VGND,li1,28.2900,27.2000,0.000100
_112_,VGND,li1,27.8300,38.0800,0.000041
_111_,VGND,li1,27.8300,38.0800,0.000041
_110_,VGND,li1,31.7400,38.0800,0.000045
_109_,VGND,li1,27.1400,43.5200,0.000053
_108_,VGND,li1,20.0100,48.9600,0.000053
_107_,VGND,li1,25.9900,54.4000,0.000063
_106_,VGND,li1,22.3100,48.9600,0.000049
_105_,VGND,li1,33.3500,27.2000,0.000120
_104_,VGND,li1,38.8700,38.0800,0.000056
_103_,VGND,li1,46.9200,27.2000,0.000153
_102_,VGND,li1,51.9800,27.2000,0.000157
_101_,VGND,li1,50.8300,27.2000,0.000157
_100_,VGND,li1,20.9300,27.2000,0.000095
_099_,VGND,li1,15.8700,27.2000,0.000103
_098_,VGND,li1,11.2700,27.2000,0.000107
_097_,VGND,li1,8.2800,32.6400,0.000095
_096_,VGND,li1,13.5700,38.0800,0.000058
_095_,VGND,li1,8.5100,32.6400,0.000095
_094_,VGND,li1,17.7100,32.6400,0.000083
_093_,VGND,li1,48.3000,27.2000,0.000153
_092_,VGND,li1,41.8600,32.6400,0.000118
_091_,VGND,li1,48.5300,21.7600,0.000206
_090_,VGND,li1,24.6100,48.9600,0.000045
_089_,VGND,li1,33.1200,38.0800,0.000049
_088_,VGND,li1,28.9800,32.6400,0.000071
_087_,VGND,li1,24.6100,38.0800,0.000035
_086_,VGND,li1,23.0000,38.0800,0.000040
_085_,VGND,li1,24.1500,43.5200,0.000046
_084_,VGND,li1,21.3900,38.0800,0.000040
_083_,VGND,li1,29.6700,32.6400,0.000079
_082_,VGND,li1,21.3900,10.8800,0.000025
_081_,VGND,li1,30.5900,27.2000,0.000110
_080_,VGND,li1,29.6700,43.5200,0.000059
_079_,VGND,li1,38.8700,27.2000,0.000136
_078_,VGND,li1,43.4700,32.6400,0.000124
